AGL6	AGAMOUS-like 13 (AGL13);AGAMOUS-like 6 (AGL6);SEPALLATA 2 (SEP2);SEPALLATA3 (SEP3)	OsMADS17, MADS17, NMADS3, RMADS213, nmads3;OsMADS1, LHS, lhs1, lhs, lhs2, op, nsr, MADS1, LHS1/OsMADS1, Lhs1, AFO, OsLHS1, OsLG3b, LG3b, qLGY3, LGY3, DLN80, OsDLN80, OLR, OsOLR, GW3p6, OsGW3p6, OsMADS1GW3p6, MADS1GW3p6, qLGY3/OsLG3b/GW3p6;OsMADS24, MADS8, OsMADS8, OsMADS8/24;OsMADS6, MADS6, OsMFO1;OsMADS7, OsMADS45, FDRMADS1, RMADS216, AGL6, M79, MADS45, Os MADS7, Os MADS45, OsMADS7/45
LOC101752556	ETHYLENE-DEPENDENT GRAVITROPISM-DEFICIENT AND YELLOW-GREEN 1 (EGY1);ethylene-dependent gravitropism-deficient and yellow-green-like 2 (EGY2);ETHYLENE-DEPENDENT GRAVITROPISM-DEFICIENT AND YELLOW-GREEN-LIKE 3 (EGY3)	
LOC101752557	unknown protein	
LOC101752562	beta-tonoplast intrinsic protein (BETA-TIP);gamma tonoplast intrinsic protein (GAMMA-TIP);TIP3;tonoplast intrinsic protein 1;tonoplast intrinsic protein 2 (TIP2)	OsTIP1;1, TIP1-1, rTIP1;OsTIP1;2, TIP1-2, TIP1.2, TIP1;OsTIP2;2, TIP2-2;OsTIP3;1, TIP3-1, TIP3.1, TIP3, OsEnS-139;OsTIP3;2, TIP3-2, OsEnS-70
LOC101752563	dicarboxylate transport 2.1 (DIT2.1);dicarboxylate transporter 1 (DiT1);dicarboxylate transporter 2.2 (DiT2.2)	
LOC101752565	Alanyl-tRNA synthetase (ALATS);EMBRYO DEFECTIVE 1030 (EMB1030)	
LOC101752567	CLP protease P4 (CLPP4);CLP protease proteolytic subunit 3 (CLPP3);CLP protease proteolytic subunit 6 (CLPP6);nuclear encoded CLP protease 5 (CLPP5)	OsCLP3, OsClp3, CLP3;OsClpP3, OsClp2, CLP2;OsClpP4, ClpP4, OsClp11, CLP11;OsClpP5, ClpP5, OsClp4, CLP4
LOC101752568	PDI-like 1-3 (PDIL1-3);PDI-like 1-4 (PDIL1-4);PDI-like 1-5 (PDIL1-5);PDI-like 1-6 (PDIL1-6)	OsGDDT, PDIL1;5, PDIL 1-5, PDIL1-5, OsPDIL1-5, OsTrx21, Trx21;OsPDIL1;1, PDIL1;1, PDIL 1-1, PDI, OsPDIL1-1, OsTrx28, Trx28;PDIL1;2, OsPDIL1;2, PDIL 1-2, OsPDIL1-2, OsTrx13, Trx13;PDIL1;4, PDIL 1-4, OsPDIL1-4, OsTrx05, Trx05, OsTrx5, Trx5
LOC101752569	U-box domain-containing protein kinase family protein	OsPUB53, PUB53, OsRLCK305, OsMed2_1, Med2_1, OsPUB53, PUB53;OsPUB54, PUB54, OsRLCK306, OsPUB54, PUB54
LOC101752571	Mitochondrial transcription termination factor family protein	
LOC101752572	ATL3	OsATL69, OsRING255, RING255, OsC3HC4_061, C3HC4_061;OsRING302;OsRING41;OsRING63;OsRING67
LOC101752573	novel plant snare 11 (NPSN11);novel plant snare 12 (NPSN12);novel plant snare 13 (NPSN13)	OsNPSN11, OryzaNPSN11;OsNPSN12, OryzaNPSN12;OsNPSN13, OryzaNPSN13
LOC101752574	GTP-binding family protein;P-loop containing nucleoside triphosphate hydrolases superfamily protein	Os_F0781;OsNug2
LOC101752576	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	OsNHL21
LOC101752577	Ypt/Rab-GAP domain of gyp1p superfamily protein	
LOC101752578	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	
LOC101752579	hAT transposon superfamily protein	
LOC101752580	phosphate transporter 1	OsPT12, PHT1-12, OsPht1;12;OsPT4, PHT1-4, OsPht1;4, PHT1-2, PHT1;4, OsPHT1;4;OsPT8, PHT1-8, OsPht1;8, Pht1;8, PHT1;8, OsPHT1;8
LOC101752582	glyceraldehyde 3-phosphate dehydrogenase A subunit 2 (GAPA-2);glyceraldehyde 3-phosphate dehydrogenase A subunit (GAPA);glyceraldehyde-3-phosphate dehydrogenase B subunit (GAPB)	GADPH, OsGAPDHB, GAPDHB, OsGAPB, GAPB;GAPDH
LOC101752589	GDSL-like Lipase/Acylhydrolase superfamily protein;SGNH hydrolase-type esterase superfamily protein	OsGELP35;OsGELP42;OsGELP44, OsGELP44a, OsGELP44b;OsGELP89;OsGELP90
LOC101752591	unknown protein	
LOC101752593	Protein kinase superfamily protein	OsRLCK21
LOC101752597	POLD3	
LOC101752598	Uncharacterised protein family (UPF0497)	OsCASP_like2;OsCASP_like35
LOC101752599	alpha/beta-Hydrolases superfamily protein	
LOC101752601	NAD(P)-binding Rossmann-fold superfamily protein	OsCADL, OsCCRL11, CCRL11;OsCCR22;OsCCR6;OS-CCR, OsCCR, CCR, OsCCR20, OsCCR14, CCR14, OsCCR2, CCR2
LOC101752602	unknown protein	
LOC101752603	EF-TU receptor (EFR);Leucine-rich repeat protein kinase family protein	OsEXS, OsRLCK354, RLCK354;OsRLCK137;Xa-3, Xa3 (Xa4b, Xa6, Xa9, Xa w), Xa3, Xaw, Xa6, Xa9, Xa4-b, XA26, Xa26(t), Xa26(t)*, Xa26, RKb, MRKb, MRKB, TRKb, Xa3/Xa26
LOC101752604	Dof-type zinc finger DNA-binding family protein;TARGET OF MONOPTEROS 6 (TMO6)	OsDof14, Dof14, OsDof-14, OsDof12, Dof12;OsDof1, Dof1, OsDof-1, OsDof6, Dof6;OsDof22, Dof22, OsDof-22, OsDof23, Dof23;OsDof29, Dof29, OsDof-29, OsDof20, Dof20, CRPG562, OsCRPG562;OsDof7, Dof7, OsDof-7, OsDOF11, DOF11, OsDof9, Dof9
LOC101752605	BEL1-like homeodomain 10 (BEL10);homeobox gene 1 (ATH1)	OsBLH6;OsWAHD1
LOC101752606	BRCT domain-containing DNA repair protein	
LOC101752607	camelliol C synthase 1 (CAMS1);cycloartenol synthase 1 (CAS1)	OsIAS, OsOSC11, IAS, OSC11;OsOSC10;OsOSC2, CAS1;OsOSC7, OSC7, OsPS, PS, OsOSC7/OsPS, OsOSC7i, OsOSC7j;OsOSC8
LOC101752610	D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein	OsAT-IV, OsDIAT
LOC101752611	MATE efflux family protein	
LOC101752612	CONSTITUTIVE DISEASE RESISTANCE 1 (CDR1);Eukaryotic aspartyl protease family protein	OsCDR1
LOC101752613	Disease resistance protein (TIR-NBS class);P-loop containing nucleoside triphosphate hydrolases superfamily protein	
LOC101752614	oligopeptide transporter 1 (OPT6);oligopeptide transporter 2 (OPT2);oligopeptide transporter 4 (OPT4);oligopeptide transporter 7 (OPT7);oligopeptide transporter 8 (OPT8)	OsOPT2;OsOPT4;OsOPT6;OsOPT8
LOC101752615	Cell differentiation, Rcd1-like protein	OsEnS-35
LOC101752618	Remorin family protein	OsREM1.1;OsREM1.3;OsREM1.4;OsREM1.5
LOC101752619	DNAJ heat shock family protein	OsDjB3;OsDjB4;OsDjB7, DjB7;OsDjB8
LOC101752620	Erythronate-4-phosphate dehydrogenase family protein	
LOC101752621	NDH dependent flow 6 (NDF6)	
LOC101752622	QUASIMODO2 LIKE 1 (QUL1);TUMOROUS SHOOT DEVELOPMENT 2 (TSD2)	OsAPRL2;OsAPRL3;OsTSD2, OsQUA2, QUA2
LOC101752623	kinesin 1 (ATK1);kinesin 5 (ATK5);P-loop containing nucleoside triphosphate hydrolases superfamily protein	OsDLK;OsSTD1
LOC101752625	CONTAINS InterPro DOMAIN/s: Putative harbinger transposase-derived nuclease (InterPro:IPR006912);unknown protein	
LOC101752630	NOD26-like intrinsic protein 1;NOD26-like intrinsic protein 3;NOD26-like intrinsic protein 5;NOD26-like intrinsic protein 6;NOD26-like major intrinsic protein 1 (NLM1)	OsNIP3;1, NIP3;1, NIP3-1, OsNIP3.1, NIP3.1, OsASA;OsNIP3;2, NIP3-2, OsNIP3.2, NIP3.2;OsNIP3;3, NIP3-3, OsNIP3.3, NIP3.3;OsNIP3;4, NIP3-4;OsNIP3;5, NIP3-5
LOC101752632	CONTAINS InterPro DOMAIN/s: Putative harbinger transposase-derived nuclease (InterPro:IPR006912);unknown protein	
LOC101752633	FUNCTIONS IN: molecular_function unknown	
LOC101752635	Uncharacterized conserved protein (DUF2358)	
LOC101752637	UDP-Glycosyltransferase superfamily protein	OsEnS-102;OsUGT710C2
LOC101752638	phosphate transporter 1	OsPT4, PHT1-4, OsPht1;4, PHT1-2, PHT1;4, OsPHT1;4;OsPT5, OsPht1;5, Pht1;5, PHT1-5
LOC101752639	C2H2-like zinc finger protein;zinc finger (C2H2 type) family protein;zinc finger protein-related	OsZOS11-01;OsZOS4-01;OsZOS4-14;OsZOS6-07
LOC101752640	Flavin-binding monooxygenase family protein;flavin-dependent monooxygenase 1 (FMO1)	
LOC101752641	Cupredoxin superfamily protein;uclacyanin 1 (UCC1)	OsUCL1;OsUCL15;OsUCL16;OsUCL31;OsUCL4
LOC101752642	aspartate aminotransferase (AAT);Pyridoxal phosphate (PLP)-dependent transferases superfamily protein;SUPERROOT 1 (SUR1)	OsIDI4;OsPPA-AT, PPA-AT
LOC101752643	Major facilitator superfamily protein;nitrate transporter 1:2 (NRT1:2)	OsPTR3, PTR3, PTR3-A;PTR
LOC101752644	PRLI-interacting factor, putative	
LOC101752645	ubiquitin fusion degradation 1 (UFD1)	OsTKPR1, TKPR1, OsDFR2, OS-DFR2, OsDFR2A, DFR2A, OsCCRL1, CCRL1;OsZOS1-09
LOC101752646	Heavy metal transport/detoxification superfamily protein 	OsHMP28, HMP28, OsHIPP30, OsaHIP30, HIP30
LOC101752647	Leucine-rich repeat protein kinase family protein;leucine-rich repeat transmembrane protein kinase family protein;receptor-like kinase 1 (RKL1)	OsPRK
LOC101752648	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein	OsRPL30e, RPL30e
LOC101752649	EMBRYONIC FACTOR1 (FAC1)	
LOC101752658	purple acid phosphatase 24 (PAP24);purple acid phosphatase 27 (PAP27);Purple acid phosphatases superfamily protein	OsNPP1, OsPAP27b, PAP27B;OsPAP1a, NPP3, OsNPP3;OsPAP1c, NPP4, OsNPP4;OsPAP27a, NPP6, OsNPP6;OsPAP27c
LOC101752659	Major facilitator superfamily protein	OsENA1
LOC101752661	MILDEW RESISTANCE LOCUS O 11 (MLO11);MILDEW RESISTANCE LOCUS O 4 (MLO4)	OsMLO11, MLO11;OsMLO2, OsMLO3, OsMlo2, MLO2, Mlo2, Mlo, MLO3;OsMLO4, OsMLO1, MLO1;OsMLO5, OsMLO2;OsMLO6, OsMLO1, OsMlo1, Mlo, OsMlo-1, Mlo1, MLO6
LOC101752662	Class I glutamine amidotransferase-like superfamily protein;YLS5	OsDJ-1C, DJ-1C, OsDJ-1C.1, OsDJ-1C.2, OsDJ-1C.3;OsDJ-1F, DJ-1F
LOC101752663	Lipase/lipooxygenase, PLAT/LH2 family protein	
LOC101752664	BRI1 suppressor 1 (BSU1)-like 1 (BSL1);BRI1 suppressor 1 (BSU1)-like 2 (BSL2);BRI1 suppressor 1 (BSU1)-like 3 (BSL3)	OsPP41, OsTOPP3, TOPP3;OsPPKL1, PPKL1, qGL3, OsPP54, PP54, OsGL3.1, qGL3/OsPPKL1;OsPPKL2, OsPP73;OsPPKL3, PPKL3, OsPP132
LOC101752665	ABC-2 type transporter family protein;ECERIFERUM 5 (CER5);white-brown complex homolog protein 11 (WBC11)	OsABCG12;OsABCG22;OsABCG23;OsABCG26;OsABCG9
LOC101752666	laccase 12 (LAC12);laccase 5 (LAC5);laccase 7 (LAC7);laccase 8 (LAC8);Laccase/Diphenol oxidase family protein	OsChI1, ChI1, OsLAC3;OsLAC17;OsLAC22;OsLAC23, OsLAC19, LAC19;OsLAC24
LOC101752668	novel interactor of JAZ (NINJA)	OsNINJA1, NINJA1, OsNINJA2, OsNINJA, NINJA, OsNINJA4, NINJA4
LOC101752669	disease resistance family protein / LRR family protein;receptor like protein 19 (RLP19);receptor like protein 6 (RLP6)	
LOC101752670	ATP binding microtubule motor family protein;P-loop containing nucleoside triphosphate hydrolases superfamily protein	bc12, gdd, GDD1, BC12/GDD1, OsGDD1, OsBC12/GDD1, OsBC12, LGW, OsLGW, SWB9, OsSWB9;KIF19, OsKIF19
LOC101752672	histone deacetylase 14 (hda14);histone deacetylase 5 (HDA05);histone deacetylase 8 (HDA08)	OsHDA712;OsHDA713;OsHDA716;OsHDA717;OsHDAC10, HDA714, OsHDA714, ASDAC, OsASDAC
LOC101752673	1-deoxy-D-xylulose 5-phosphate synthase 1 (DXPS1);1-deoxy-D-xylulose 5-phosphate synthase 3 (DXPS3);CLOROPLASTOS ALTERADOS 1 (CLA1)	CLA1, OsDXS1, dxs1, OsDXS, DXS, OsTKL1, TKL1;OsDXS2, dxs2;OsDXS, OsDXS3, dxs3, DXS2, OsDXS2
LOC101752674	disease resistance family protein / LRR family protein;FLAGELLIN-SENSITIVE 2 (FLS2);Leucine-rich repeat protein kinase family protein;receptor like protein 50 (RLP50)	
