HORVU.MOREX.r3.1HG0000040	peroxin 14 (PEX14)	OsPex14, OsPex14p, OsPEX14
HORVU.MOREX.r3.1HG0000730	GASSHO1 (GSO1);Leucine-rich repeat protein kinase family protein;Leucine-rich repeat receptor-like protein kinase family protein;Protein kinase family protein with leucine-rich repeat domain	OsXIK1
HORVU.MOREX.r3.1HG0000850	cyclophilin 20-2 (CYP20-2);rotamase CYP 4 (ROC4)	CYC2, cyc2*, cyc2, OsCYP2, Cyp2, OsCYP19-2, CYP19-2, OsCYP-2, OsCyp2-P, OsCyp2, OsCYP19-1, LRT2/OsCYP2, lrt2*, lrt2, Ppcti;OsCYP20-1, OsCYP-17, OsCYP20-1a, OsCYP20-1b;OsCYP20-2, OsCYP-11, OsNuCYP20-2;OsCYP20-3, OsCYP-5
HORVU.MOREX.r3.1HG0000870.1.CDS1	Protein of unknown function (DUF 3339)	
HORVU.MOREX.r3.1HG0000880.1.CDS1	Protein of unknown function (DUF 3339)	
HORVU.MOREX.r3.1HG0000990	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	Bph14 (Qbp1), Bph14, Qbp1, qBPH-3
HORVU.MOREX.r3.1HG0001010	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	Bph14 (Qbp1), Bph14, Qbp1, qBPH-3
HORVU.MOREX.r3.1HG0001020	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	Bph14 (Qbp1), Bph14, Qbp1, qBPH-3
HORVU.MOREX.r3.1HG0001030	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	Bph14 (Qbp1), Bph14, Qbp1, qBPH-3
HORVU.MOREX.r3.1HG0001120.1.CDS1	copper ion binding	
HORVU.MOREX.r3.1HG0001130	ankyrin repeat family protein	OsTPR043, TPR043, OsTPR43;OsTPR116;OsTPR173
HORVU.MOREX.r3.1HG0001140	Class I glutamine amidotransferase-like superfamily protein	OsDJ-1A, DJ-1A;OsDJ-1B, DJ-1B;OsDJ-1D, DJ-1D, OsDJ-1D.1, OsDJ-1D.2, OsDJ-1D.3, OsDJ-1D.4, OsDJ-1D.5;OsDJ-1E, DJ-1E
HORVU.MOREX.r3.1HG0001150	Class I glutamine amidotransferase-like superfamily protein	OsDJ-1A, DJ-1A;OsDJ-1B, DJ-1B;OsDJ-1D, DJ-1D, OsDJ-1D.1, OsDJ-1D.2, OsDJ-1D.3, OsDJ-1D.4, OsDJ-1D.5;OsDJ-1E, DJ-1E
HORVU.MOREX.r3.1HG0001250	Flavin-binding monooxygenase family protein;flavin-dependent monooxygenase 1 (FMO1)	
HORVU.MOREX.r3.1HG0001270	sterol-4alpha-methyl oxidase 1-1 (SMO1-1);sterol 4-alpha-methyl-oxidase 2-1 (SMO2-1);sterol 4-alpha-methyl-oxidase 2-2;sterol C4-methyl oxidase 1-2 (SMO1-2)	OsFAH2;OsGL1-10;OsGL1-11;OsGL1-8, GL1-8
HORVU.MOREX.r3.1HG0001280	cysteine-rich RLK (RECEPTOR-like protein kinase) 15 (CRK15);cysteine-rich RLK (RECEPTOR-like protein kinase) 28 (CRK28);cysteine-rich RLK (RECEPTOR-like protein kinase) 29 (CRK29)	AGP, OsAGP;AGP, OsAGP, OsCBMIP-K
HORVU.MOREX.r3.1HG0001400.1.CDS1	Plant protein of unknown function (DUF247)	OsDUF247
HORVU.MOREX.r3.1HG0001410	Plant protein of unknown function (DUF247)	OsDUF247
HORVU.MOREX.r3.1HG0001470	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	Bph14 (Qbp1), Bph14, Qbp1, qBPH-3
HORVU.MOREX.r3.1HG0001510.1.CDS1	Disease resistance protein (CC-NBS-LRR class) family;NB-ARC domain-containing disease resistance protein;RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1
HORVU.MOREX.r3.1HG0001530.1.CDS1	unknown protein	
HORVU.MOREX.r3.1HG0001540	CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF231, plant (InterPro:IPR004253);TRICHOME BIREFRINGENCE-LIKE 11 (TBL11);TRICHOME BIREFRINGENCE-LIKE 8 (TBL8);TRICHOME BIREFRINGENCE-LIKE 9;TRICHOME BIREFRINGENCE-LIKE 9 (TBL9)	OsTBL22;OsTBL23;OsTBL24;OsTBL25;OsTBL28
HORVU.MOREX.r3.1HG0001640	CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF231, plant (InterPro:IPR004253);TRICHOME BIREFRINGENCE-LIKE 11 (TBL11);TRICHOME BIREFRINGENCE-LIKE 8 (TBL8);TRICHOME BIREFRINGENCE-LIKE 9;TRICHOME BIREFRINGENCE-LIKE 9 (TBL9)	OsTBL22;OsTBL23;OsTBL24;OsTBL25;OsTBL28
HORVU.MOREX.r3.1HG0001650	PR5-like receptor kinase (PR5K);receptor serine/threonine kinase, putative	OsRLCK11;OsRLCK14
HORVU.MOREX.r3.1HG0001670.1.CDS1	PR5-like receptor kinase (PR5K);Protein kinase superfamily protein	OsRLCK18;OsRLCK18, RLCK18;OsRLCK8
HORVU.MOREX.r3.1HG0001690	PR5-like receptor kinase (PR5K);receptor serine/threonine kinase, putative	OsRLCK11;OsRLCK14
HORVU.MOREX.r3.1HG0001700	Protein kinase family protein;Protein kinase superfamily protein	OsRLCK13;OsRLCK16;OsRLCK18
HORVU.MOREX.r3.1HG0001720	PR5-like receptor kinase (PR5K);receptor serine/threonine kinase, putative	OsRLCK11;OsRLCK14
HORVU.MOREX.r3.1HG0001730	Protein kinase family protein;Protein kinase superfamily protein	OsRLCK13;OsRLCK16;OsRLCK18
HORVU.MOREX.r3.1HG0001750	CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF231, plant (InterPro:IPR004253);TRICHOME BIREFRINGENCE-LIKE 11 (TBL11);TRICHOME BIREFRINGENCE-LIKE 8 (TBL8);TRICHOME BIREFRINGENCE-LIKE 9;TRICHOME BIREFRINGENCE-LIKE 9 (TBL9)	OsTBL22;OsTBL23;OsTBL24;OsTBL25;OsTBL28
HORVU.MOREX.r3.1HG0001790	CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF231, plant (InterPro:IPR004253);TRICHOME BIREFRINGENCE-LIKE 11 (TBL11);TRICHOME BIREFRINGENCE-LIKE 8 (TBL8);TRICHOME BIREFRINGENCE-LIKE 9;TRICHOME BIREFRINGENCE-LIKE 9 (TBL9)	OsTBL22;OsTBL23;OsTBL24;OsTBL25;OsTBL28
HORVU.MOREX.r3.1HG0001800	PR5-like receptor kinase (PR5K);receptor serine/threonine kinase, putative	OsRLCK11;OsRLCK14
HORVU.MOREX.r3.1HG0001820.1.CDS1	PR5-like receptor kinase (PR5K);Protein kinase superfamily protein	OsRLCK18;OsRLCK18, RLCK18;OsRLCK8
HORVU.MOREX.r3.1HG0001840	PR5-like receptor kinase (PR5K);receptor serine/threonine kinase, putative	OsRLCK11;OsRLCK14
HORVU.MOREX.r3.1HG0001850	Protein kinase family protein;Protein kinase superfamily protein	OsRLCK13;OsRLCK16;OsRLCK18
HORVU.MOREX.r3.1HG0001880	PR5-like receptor kinase (PR5K);receptor serine/threonine kinase, putative	OsRLCK11;OsRLCK14
HORVU.MOREX.r3.1HG0001890	Protein kinase family protein;Protein kinase superfamily protein	OsRLCK13;OsRLCK16;OsRLCK18
HORVU.MOREX.r3.1HG0001910.1.CDS1	Disease resistance protein (CC-NBS-LRR class) family;RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1
HORVU.MOREX.r3.1HG0002020	O-methyltransferase family protein	OsASMT18, OsCOMT30, COMT30;OsASMT3, OsCOMT8, COMT8;ZRP4, OMT, ASMT, OsASMT, OsASMT1, ASMT1, OsASMT13, OsCOMT19, COMT19;ZRP4, OsASMT2, OsASMT15;ZRP4, OsASMT4, OsCOMT9, COMT9
HORVU.MOREX.r3.1HG0002040	EARLY-RESPONSIVE TO DEHYDRATION 9 (ERD9);glutathione S-transferase TAU 11 (GSTU11);glutathione S-transferase TAU 15 (GSTU15);glutathione S-transferase TAU 16 (GSTU16);glutathione S-transferase TAU 18 (GSTU18)	OsGSTU2, ParC, OsGSTU6-3, GSTU6-3;OsGSTU8, OsGST35, GST35;OsGSTU9
HORVU.MOREX.r3.1HG0002060	Disease resistance protein (CC-NBS-LRR class) family;HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1
HORVU.MOREX.r3.1HG0002080.1.CDS1	receptor kinase 1 (RK1);receptor kinase 2 (RK2);receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	OsSIK2, YK14, SDRLK-SIK2, OsSDRLK-SIK2;SDRLK-22, OsSDRLK-22, OsSDRLK22;SDRLK-25, OsSDRLK-25, OsSDRLK25;SDRLK-34, OsSDRLK-34, OsSDRLK34;YK28, SDRLK-21, OsSDRLK-21, OsSDRLK21
HORVU.MOREX.r3.1HG0002100.1.CDS1	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein;Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein	OsC2DP40, C2DP40, OsFTIP4;OsC2DP47, C2DP47, OsFTIP3;OsFTIP7, OsC2DP44, C2DP44
HORVU.MOREX.r3.1HG0002130	arginine/serine-rich 45 (SR45)	OsRRM1-100
HORVU.MOREX.r3.1HG0002130	arginine/serine-rich 45 (SR45)	
HORVU.MOREX.r3.1HG0002160	CDP-diacylglycerol synthase 1 (CDS1);cytidinediphosphate diacylglycerol synthase 2 (CDS2);Phosphatidate cytidylyltransferase family protein	OsRBL1
HORVU.MOREX.r3.1HG0002180.1.CDS1	Disease resistance protein (CC-NBS-LRR class) family;RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1
HORVU.MOREX.r3.1HG0002260	12-oxophytodienoate reductase 1 (OPR1);12-oxophytodienoate reductase 2 (OPR2);FMN-linked oxidoreductases superfamily protein;oxophytodienoate-reductase 3 (OPR3)	OsOPR1, OsOPR2, OsOPR11, OsOPR06-6, OPDAR1, OsOPR, OPDAR;OsOPR4, OsOPR10, OsOPR06-3, OsOPR7;OsOPR5, OsOPR6, OsOPR06-2, OPR4;OsOPR6, OsOPR4, OsOPR06-1;OsOPR8, OsOPR7, OsOPR02-1
HORVU.MOREX.r3.1HG0002280	12-oxophytodienoate reductase 1 (OPR1);12-oxophytodienoate reductase 2 (OPR2);FMN-linked oxidoreductases superfamily protein;oxophytodienoate-reductase 3 (OPR3)	OsOPR1, OsOPR2, OsOPR11, OsOPR06-6, OPDAR1, OsOPR, OPDAR;OsOPR2, OsOPR06-5;OsOPR4, OsOPR10, OsOPR06-3, OsOPR7;OsOPR5, OsOPR6, OsOPR06-2, OPR4;OsOPR6, OsOPR4, OsOPR06-1
HORVU.MOREX.r3.1HG0002320	RAB GTPase 11C (RAB11c);RAB GTPase homolog A1F (RABA1f);RAB GTPase homolog A2B (RABA2b);RAB GTPase homolog A2C (RABA2c)	OsRab11A1;OsRab11A2, Rab11A2, RABA2a, OsRABA2a;OsRab11B2;OsRab11C3;OsSTA36
HORVU.MOREX.r3.1HG0002330	ATFP8;RAB GTPase homolog 1A (RAB1A);RAB GTPase homolog 1C (RAB1C);RAB GTPase homolog 8 (RAB8);RAS 5 (RA-5)	OsRab1B2, OsRas1;OsRab1C1;OsRab8A3;OsRab8A5, OsRab8a
HORVU.MOREX.r3.1HG0002340	PFIFFERLING (PFI)	
HORVU.MOREX.r3.1HG0002350	unknown protein	
HORVU.MOREX.r3.1HG0002380	12-oxophytodienoate reductase 1 (OPR1);12-oxophytodienoate reductase 2 (OPR2);FMN-linked oxidoreductases superfamily protein;oxophytodienoate-reductase 3 (OPR3)	OsOPR1, OsOPR2, OsOPR11, OsOPR06-6, OPDAR1, OsOPR, OPDAR;OsOPR2, OsOPR06-5;OsOPR4, OsOPR10, OsOPR06-3, OsOPR7;OsOPR5, OsOPR6, OsOPR06-2, OPR4;OsOPR6, OsOPR4, OsOPR06-1
HORVU.MOREX.r3.1HG0002410.1.CDS1	receptor kinase 3 (RK3);receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	OsSIK2, YK14, SDRLK-SIK2, OsSDRLK-SIK2;SDRLK-22, OsSDRLK-22, OsSDRLK22;SDRLK-25, OsSDRLK-25, OsSDRLK25;SDRLK-34, OsSDRLK-34, OsSDRLK34;YK28, SDRLK-21, OsSDRLK-21, OsSDRLK21
HORVU.MOREX.r3.1HG0002440	lectin protein kinase family protein;receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	OsSIK2, YK14, SDRLK-SIK2, OsSDRLK-SIK2;SDRLK-22, OsSDRLK-22, OsSDRLK22;SDRLK-34, OsSDRLK-34, OsSDRLK34;YK28, SDRLK-21, OsSDRLK-21, OsSDRLK21
HORVU.MOREX.r3.1HG0002450	arginine decarboxylase 1 (ADC1);arginine decarboxylase 2 (ADC2)	ADCa, OsAdc2, OsADC2;OsADC1, ARGDC, ADC, OsAdc1
HORVU.MOREX.r3.1HG0002450.2.CDS3	arginine decarboxylase 1 (ADC1);arginine decarboxylase 2 (ADC2)	ADCa, OsAdc2, OsADC2;OsADC1, ARGDC, ADC, OsAdc1
HORVU.MOREX.r3.1HG0002510	methionine S-methyltransferase (MMT)	OsaMMT, OsMMT
HORVU.MOREX.r3.1HG0002520	ATGSTF13;glutathione S-transferase 6 (GSTF6);glutathione S-transferase 7 (GSTF7);glutathione S-transferase PHI 2 (GSTF2)	OsGSTF10;OsGSTF12, OsEnS-7;OsGSTF1, RGSI;OsGSTF2, RGSTII;OsGSTF9
HORVU.MOREX.r3.1HG0002560	carboxyl terminus of HSC70-interacting protein (CHIP)	OsPUB66;OsPUB68, OsPUB68, PUB68
HORVU.MOREX.r3.1HG0002570	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP12, OsGELP12a, OsGELP12b, OsGELP12c;OsGELP13;OsGELP4;OsGELP9
HORVU.MOREX.r3.1HG0002580	ARAB-1;GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP12, OsGELP12a, OsGELP12b, OsGELP12c;OsGELP13;OsGELP4;OsGELP84
HORVU.MOREX.r3.1HG0002590	CONTAINS InterPro DOMAIN/s: Serine-threonine protein kinase 19 (InterPro:IPR018865);FUNCTIONS IN: molecular_function unknown	
HORVU.MOREX.r3.1HG0002630	Actin-binding FH2 (formin homology 2) family protein;formin homolog 6 (FH6);formin homology 1 (AFH1)	OsFH1;OsFH10;OsFH13, FH13, OsDRT;OsFH4;OsSTA198, STA198, OsFH11
HORVU.MOREX.r3.1HG0002660	Vacuolar sorting protein 39	OsFH14
HORVU.MOREX.r3.1HG0002670.1.CDS1	DNA-DAMAGE REPAIR/TOLERATION 100 (DRT100);FLOR1 (FLR1);Leucine-rich repeat (LRR) family protein;polygalacturonase inhibiting protein 1 (PGIP1);polygalacturonase inhibiting protein 2 (PGIP2)	OsFOR1, Osfor1, OsPGIP5, PGIP5;Ospgip1, pgip1, OsPGIP1;Ospgip2, pgip2, OsPGIP2;Ospgip3, pgip3, OsPGIP3;Ospgip4, pgip4, OsPGIP4
HORVU.MOREX.r3.1HG0002680	Protein kinase superfamily protein;receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	OsSIK2, YK14, SDRLK-SIK2, OsSDRLK-SIK2;SDRLK-22, OsSDRLK-22, OsSDRLK22;SDRLK-34, OsSDRLK-34, OsSDRLK34;YK28, SDRLK-21, OsSDRLK-21, OsSDRLK21
HORVU.MOREX.r3.1HG0002690.1.CDS1	B120;receptor kinase 2 (RK2);S-locus lectin protein kinase family protein	OsSBRR1;OsSIK2, YK14, SDRLK-SIK2, OsSDRLK-SIK2;SDRLK-22, OsSDRLK-22, OsSDRLK22;SDRLK-25, OsSDRLK-25, OsSDRLK25;YK28, SDRLK-21, OsSDRLK-21, OsSDRLK21
HORVU.MOREX.r3.1HG0002800	HOPZ-ACTIVATED RESISTANCE 1 (ZAR1);LRR and NB-ARC domains-containing disease resistance protein;NB-ARC domain-containing disease resistance protein	Bph14 (Qbp1), Bph14, Qbp1, qBPH-3
HORVU.MOREX.r3.1HG0002830	PR5-like receptor kinase (PR5K);Protein kinase superfamily protein	OsRLCK13;OsRLCK16;OsRLCK18
HORVU.MOREX.r3.1HG0002840	Protein kinase family protein;Protein kinase superfamily protein;receptor serine/threonine kinase, putative	OsRLCK14
HORVU.MOREX.r3.1HG0002850	TRICHOME BIREFRINGENCE-LIKE 10 (TBL10);TRICHOME BIREFRINGENCE-LIKE 8 (TBL8);TRICHOME BIREFRINGENCE-LIKE 9;TRICHOME BIREFRINGENCE-LIKE 9 (TBL9)	OsTBL22;OsTBL23;OsTBL24;OsTBL25;OsTBL28
HORVU.MOREX.r3.1HG0002860	Protein of unknown function (DUF594);unknown protein	
HORVU.MOREX.r3.1HG0002870	zinc finger (C2H2 type) family protein	OsZOS2-09;OsZOS5-01
HORVU.MOREX.r3.1HG0002880	ATPase, F0/V0 complex, subunit C protein;AVA-P1;AVA-P2;vacuolar H+-pumping ATPase 16 kDa proteolipid subunit 4 (AVA-P4);vacuolar-type H(+)-ATPase C3 (VHA-C3)	OsVHA-c
HORVU.MOREX.r3.1HG0002880	ATPase, F0/V0 complex, subunit C protein;AVA-P1;AVA-P2;vacuolar-type H(+)-ATPase C3 (VHA-C3)	OsVHA-c
HORVU.MOREX.r3.1HG0002890	SMAD/FHA domain-containing protein 	
HORVU.MOREX.r3.1HG0002910	PR5-like receptor kinase (PR5K);receptor serine/threonine kinase, putative	OsRLCK11;OsRLCK14
HORVU.MOREX.r3.1HG0002920	Protein kinase superfamily protein	OsRLCK16;OsRLCK18;OsRLCK18, RLCK18;OsRLCK8
HORVU.MOREX.r3.1HG0002940.1.CDS1	Disease resistance protein (CC-NBS-LRR class) family;RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1
HORVU.MOREX.r3.1HG0002950.1.CDS1	NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRLR1;OsRPM1
HORVU.MOREX.r3.1HG0002960	NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1-L1, SOH74, OsSOH74
HORVU.MOREX.r3.1HG0002980	PR5-like receptor kinase (PR5K);receptor serine/threonine kinase, putative	OsRLCK11;OsRLCK14
HORVU.MOREX.r3.1HG0002990	Protein kinase family protein;Protein kinase superfamily protein	OsRLCK16;OsRLCK18;OsRLK19
HORVU.MOREX.r3.1HG0003000.1.CDS1	Disease resistance protein (CC-NBS-LRR class) family;RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1
HORVU.MOREX.r3.1HG0003010.1.CDS1	NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRLR1;OsRPM1
HORVU.MOREX.r3.1HG0003030	PR5-like receptor kinase (PR5K);Protein kinase family protein;Protein kinase superfamily protein;receptor serine/threonine kinase, putative	OsRLCK17;OsRLCK6
HORVU.MOREX.r3.1HG0003040	Protein kinase family protein;Protein kinase superfamily protein	OsRLCK16;OsRLCK18;OsRLK19
HORVU.MOREX.r3.1HG0003050.1.CDS1	UDP-Glycosyltransferase superfamily protein	OsUGT91C1, EUGT11, OsEUGT11;UGT
HORVU.MOREX.r3.1HG0003070.1.CDS1	Disease resistance protein (CC-NBS-LRR class) family	OsNLS1
HORVU.MOREX.r3.1HG0003080	ECERIFERUM 4 (CER4);fatty acid reductase 1 (FAR1);fatty acid reductase 4 (FAR4);fatty acid reductase 5 (FAR5);fatty acid reductase 8 (FAR8)	OsCER4, OsFAR3, FAR3;OsFAR1;OsFAR7;OsFAR8;OsRALF-2, OsRALF2, RALF-2, OsFAR5, FAR5
HORVU.MOREX.r3.1HG0003100	ATBCAT-5;branched-chain amino acid transaminase 2 (BCAT-2);branched-chain aminotransferase 3 (BCAT3)	OsBCAT1;OsBCAT4
HORVU.MOREX.r3.1HG0003110	nodulin MtN21 /EamA-like transporter family protein;Walls Are Thin 1 (WAT1)	OsFCO9, OsDUF6, DUF6;OsUMAMIT2;OsUMAMIT4;OsUMAMIT8
HORVU.MOREX.r3.1HG0003120	nodulin MtN21 /EamA-like transporter family protein;Walls Are Thin 1 (WAT1)	OsFCO9, OsDUF6, DUF6;OsUMAMIT3;OsUMAMIT4;OsUMAMIT8
HORVU.MOREX.r3.1HG0003130	PRAF1;Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain	OsDLN38, OsFYVE03, OsFYVE3, FYVE03, FYVE3;OsFYVE11;OsPRAF2, OsFYVE10, FYVE10;OsRLR4, OsFYVE09, FYVE09, OsFYVE9, FYVE9;OsSTA28, OsFYVE01, OsFYVE01, FYVE01
HORVU.MOREX.r3.1HG0003140	actin-11 (ACT11);actin 3 (ACT3);actin 7 (ACT7)	
HORVU.MOREX.r3.1HG0003150	Chaperone DnaJ-domain superfamily protein	OsDjC46;OsDjC47
HORVU.MOREX.r3.1HG0003160	Phosphoinositide phosphatase family protein;ROOT HAIR DEFECTIVE4 (RHD4);SAC domain-containing protein 8 (SAC8);SUPPRESSOR OF ACTIN 1B (ATSAC1B)	OsGH1
HORVU.MOREX.r3.1HG0003210	Disease resistance protein (CC-NBS-LRR class) family;RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	Pib-H8, PibH8, OsPibH8
HORVU.MOREX.r3.1HG0003260	CW9;Disease resistance protein (CC-NBS-LRR class) family;RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	Bph9, BPH9/26, Bph26(t), BPH26, Bph18(t), BPH18;Pib-H8, PibH8, OsPibH8
HORVU.MOREX.r3.1HG0003270	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	
HORVU.MOREX.r3.1HG0003290	unknown protein	
HORVU.MOREX.r3.1HG0003300	Late embryogenesis abundant (LEA) protein-related;late embryogenesis abundant protein-related / LEA protein-related	
