QOZ80_1AG0000010	NC domain-containing protein-related	
QOZ80_1AG0000590	Cyclin A1;CYCLIN A1;CYCLIN A3;mitotic-like cyclin 3B from Arabidopsis (CYC3B)	CycA1;1, CycA1;os;1, Orysa;CycA1;1, CYCA2.3, OscycA1;1, CYCA1-1, OsCYCA1-1;cycA1;3, CycA1;3, CYCA1-3
QOZ80_1AG0000600	plasma-membrane associated cation-binding protein 1 (PCAP1)	OsDREPP1, DREPP1, RS1;OsDREPP2
QOZ80_1AG0000610	Calcium-dependent lipid-binding (CaLB domain) family protein;KOBITO (KOB1);unknown protein	
QOZ80_1AG0000670	ubiquitin-conjugating enzyme 25 (UBC25);Ubiquitin-conjugating enzyme family protein	OsUBC39;OsUBC40;OsUBC41;OsUBC42;OsUBC43
QOZ80_1AG0000690	tRNAse Z3 (TRZ3);tRNAse Z4 (TRZ4)	OsaTRZ3, OsTRZ3
QOZ80_1AG0000740	Transducin/WD40 repeat-like superfamily protein	OsWD40-10;OsWD40-127;OsWD40-198;OsWD40-77;OsWD40-89, WD40-89, OsGORI, OsABT, ABT
QOZ80_1AG0000750	delta tonoplast integral protein (DELTA-TIP);gamma tonoplast intrinsic protein (GAMMA-TIP);tonoplast intrinsic protein 1;tonoplast intrinsic protein 2 (TIP2);tonoplast intrinsic protein 4	OsTIP1;2, TIP1-2, TIP1.2, TIP1;OsTIP4;1, TIP4-1;OsTIP4;2, TIP4.2, TIP4-2;OsTIP4;3, TIP4.3, TIP4-3
QOZ80_1AG0000760	delta tonoplast integral protein (DELTA-TIP);tonoplast intrinsic protein 1;tonoplast intrinsic protein 2;tonoplast intrinsic protein 2 (TIP2);tonoplast intrinsic protein 4	OsTIP2;1, TIP2-1, TIP2;OsTIP4;1, TIP4-1;OsTIP4;2, TIP4.2, TIP4-2;OsTIP4;3, TIP4.3, TIP4-3
QOZ80_1AG0000770	Predicted eukaryotic LigT	OsKH1
QOZ80_1AG0000780	FUNCTIONS IN: phosphoinositide binding;phosphoinositide binding	
QOZ80_1AG0000790	casein kinase I-like 3 (ckl3);casein kinase I-like 4 (ckl4)	OsCTK1
QOZ80_1AG0000810	indole-3-acetic acid inducible 9 (IAA9);indoleacetic acid-induced protein 8 (IAA8);phytochrome-associated protein 2 (PAP2)	OsIAA17, OsIAA17q5, IAA17q5;OsIAA21;OsIAA3
QOZ80_1AG0000820	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	OsbHLH067, bHLH067, bHLH67, OsbHLH67;OsbHLH071, bHLH071, bHLH71;OsbHLH072;OsbHLH073, OsbHLH73, bHLH073;OsbHLH074
QOZ80_1AG0000830	Phosphorylase superfamily protein	
QOZ80_1AG0000840	Transducin/WD40 repeat-like superfamily protein	OsWD40-9, OsPUB71, OsPUB71, PUB71
QOZ80_1AG0000850	Thioesterase superfamily protein	
QOZ80_1AG0000870	ENTH/VHS/GAT family protein;Target of Myb protein 1	
QOZ80_1AG0000880	RNA polymerase I-associated factor PAF67	eIF-3l, OseIF3l
QOZ80_1AG0000890	myb domain protein 3r-4 (MYB3R-4)	OsDLN143, OsMYB3R2-L, MYB3R2-L;OsMYB3R1-L, MYB3R1-L;OsMYB3R-1, OsMYB3R1, Os2R_MYB95, 2R_MYB95;OsMYB3R-2, OsMYB3R2, OsMSL07, MSL07, MSL7, DLN28, OsDLN28
QOZ80_1AG0000910	D-isomer specific 2-hydroxyacid dehydrogenase family protein;hydroxypyruvate reductase (HPR)	OsHPR2, OsHPR2-1, OsHPR2-2
QOZ80_1AG0000940	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein	
QOZ80_1AG0000950	Pollen Ole e 1 allergen and extensin family protein;SAH7	OsEXTL;PS1
QOZ80_1AG0000960	cytochrome P450, family 71, subfamily A, polypeptide 20 (CYP71A20);cytochrome P450, family 71, subfamily A, polypeptide 22 (CYP71A22);cytochrome P450, family 71, subfamily A, polypeptide 23 (CYP71A23);cytochrome P450, family 71, subfamily A, polypeptide 25 (CYP71A25);cytochrome P450, family 71, subfamily A, polypeptide 26 (CYP71A26)	OsCYP71C3;OsCYP71T1;OsCYP71T2;OsCYP71T3
QOZ80_1AG0000970	cytochrome P450, family 71, subfamily A, polypeptide 22 (CYP71A22);cytochrome P450, family 71, subfamily A, polypeptide 24 (CYP71A24);cytochrome P450, family 71, subfamily A, polypeptide 25 (CYP71A25);cytochrome P450, family 71, subfamily A, polypeptide 26 (CYP71A26)	OsCYP71C3;OsCYP71T1;OsCYP71T2;OsCYP71T3
QOZ80_1AG0000980	RAB GTPase homolog G3C (RABG3c);RAB GTPase homolog G3D (RABG3d);RAB GTPase homolog  G3E (RABG3E);RAB GTPase homolog G3F (RAB7B)	OsRab7A1;OsRab7A2;OsRab7B1, Rab7B1, OsRab7;OsRab7B3, Rab7B3, OsRab7, Rab7
QOZ80_1AG0000990	proline extensin-like receptor kinase 1 (PERK1);Protein kinase superfamily protein	OsPERK1;OsPERK8;OsRLCK175, OsPERK5, PERK5
QOZ80_1AG0001020	NON-YELLOW COLORING 1 (NYC1);NYC1-like (NOL)	nol, NOL1, OsNOL, OsNOL1;nyc1, OsNYC1
QOZ80_1AG0001110	SLAC1 homologue 2 (SLAH2);SLAC1 homologue 3 (SLAH3)	OsSLAC7;SLAC, OsSLAC
QOZ80_1AG0001140	unknown protein	
QOZ80_1AG0001150	Plant protein 1589 of unknown function	
QOZ80_1AG0001160	P-loop containing nucleoside triphosphate hydrolases superfamily protein	
QOZ80_1AG0001170	Reticulan like protein B3 (RTNLB3);Reticulon family protein;VIRB2-interacting protein 1 (BTI1);VIRB2-interacting protein 2 (BTI2)	OsRTNLB14;OsRTNLB16;OsRTNLB2;OsRTNLB4;OsRTNLB6
QOZ80_1AG0001180	Thioredoxin superfamily protein	
QOZ80_1AG0001200	SNARE-like superfamily protein	
QOZ80_1AG0001210	LATE EMBRYOGENESIS ABUNDANT 14 (LEA14);Late embryogenesis abundant protein	Lea14A, OsLEA5, OsEnS-2;OsLEA6;OsLEA8, OsLEA8a, OsLEA8b, OsLEA5, LEA5
QOZ80_1AG0001220	ketopantoate hydroxymethyltransferase 1 (KPHMT1);PANB2	
QOZ80_1AG0001230	Tic22-like family protein	
QOZ80_1AG0001240	embryo defective 2738 (emb2738);GTP binding	
QOZ80_1AG0001250	smr (Small MutS Related) domain-containing protein	
QOZ80_1AG0001260	A BOUT DE SOUFFLE (BOU);BAC2;MBAC1	OsCACT
QOZ80_1AG0001270	YUCCA2 (YUC2);YUCCA 3 (YUC3);YUCCA6 (YUC6);YUCCA 8 (YUC8)	OsYUCCA3, OsYUC3, YUC3;OsYUCCA4, OsYUC4, YUC4, YUCCA6, OsYUCCA6;OsYUCCA5, OsYUC5, YUC5;OsYUCCA6, OsYUC6, YUC6;OsYUCCA7, OsYUC7, OsYUC5, YUC5, YUC7
QOZ80_1AG0001280	unknown protein	
QOZ80_1AG0001290	manganese tracking factor for mitochondrial SOD2 (MTM1);Mitochondrial substrate carrier family protein	
QOZ80_1AG0001310	PLASTID DIVISION1 (PDV1)	
QOZ80_1AG0001320	cytokinin response factor 1 (CRF1);cytokinin response factor 2 (CRF2);cytokinin response factor 3 (CRF3);cytokinin response factor 4 (CRF4)	ERF130, OsERF#130, OsERF130, AP2/EREBP#165, AP2/EREBP165, DLN151, OsDLN151;OsERF#053, OsERF053, OsERF53, AP2/EREBP#134, AP2/EREBP134, OsCRF2, OsCRF2a, OsCRF2b, CRF2, CRF2a, CRF2b;OsERF#054, OsERF054, OsERF54, AP2/EREBP#162, AP2/EREBP162, OsCRF3, CRF3;OsERF#055, OsERF055, OsERF55, AP2/EREBP#146, AP2/EREBP146
QOZ80_1AG0001330	lysyl-tRNA synthetase 1 (ATKRS-1);OVULE ABORTION 5 (OVA5)	
QOZ80_1AG0001340	receptor-like protein kinase 4 (RLK4);S-locus lectin protein kinase family protein	OsESG1, SDRLK-ESG1, OsSDRLK-ESG1;SDRLK-47, OsSDRLK-47, OsSDRLK47;SDRLK-48, OsSDRLK-48, OsSDRLK48;SDRLK-67, OsSDRLK-67, OsSDRLK67;SDRLK-68, OsSDRLK-68, OsSDRLK68
QOZ80_1AG0001350	Leucine-rich repeat protein kinase family protein	OsPRK;OsSRLK, OsPRK
QOZ80_1AG0001360	ARAB-1;GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP12, OsGELP12a, OsGELP12b, OsGELP12c;OsGELP13;OsGELP4;OsGELP9
QOZ80_1AG0001380	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP12, OsGELP12a, OsGELP12b, OsGELP12c;OsGELP13;OsGELP4;OsGELP9
QOZ80_1AG0001410	vacuolar ATP synthase subunit E1 (TUF);vacuolar H+-ATPase subunit E isoform 2 (VHA-E2);vacuolar H+-ATPase subunit E isoform 3 (VHA-E3)	OsVHA-E2, OsRHA2, RHA2;OsVHA-E3;v-ATP-E, Osv-ATP-E, OsVHA-E1, VHA-E1, OsGPA8, OsRHA4, RHA4
QOZ80_1AG0001420	unknown protein	
QOZ80_1AG0001440	Uncharacterized protein family (UPF0016)	OsPML2;OsPML3;OsPML4
QOZ80_1AG0001450	Uncharacterized conserved protein (DUF2358)	
QOZ80_1AG0001460	unknown protein	
QOZ80_1AG0001480	Cupredoxin superfamily protein;Plant L-ascorbate oxidase	OsAAO1;OsAAO2, L-APX, RIP5, OsRIP5;OsAAO5;OsLAC2;OsORAP1, OzT9, AO, OsAAO4, AAO4
QOZ80_1AG0001490	unknown protein	
QOZ80_1AG0001510	JASMONATE RESISTANT 1 (JAR1)	OsJAR1, OsGH3.5, GH3.5, OsGH3-5, GH3-5;OsJAR2, OsGH3.3, GH3.3, OsGH3-3, JAR2/GH3-3, GH3-3, OsGH3.3/OsJAR2;OsJAR3, OsGH3.12, GH3.12, OsGH3-12, GH3-12
QOZ80_1AG0001530	JASMONATE RESISTANT 1 (JAR1)	OsJAR1, OsGH3.5, GH3.5, OsGH3-5, GH3-5;OsJAR2, OsGH3.3, GH3.3, OsGH3-3, JAR2/GH3-3, GH3-3, OsGH3.3/OsJAR2;OsJAR3, OsGH3.12, GH3.12, OsGH3-12, GH3-12
QOZ80_1AG0001550	Nodulin MtN3 family protein;senescence-associated gene 29 (SAG29)	OsSWEET1a, SWEET1a;OsSWEET3a, SWEET3a;OsSWEET3b, SWEET3b;OsSWEET4;OsSWEET5
QOZ80_1AG0001590	Translation elongation  factor EF1B/ribosomal protein S6 family protein	RPS6, OsRPS6
QOZ80_1AG0001600	glycosyl hydrolase 9B8 (GH9B8);glycosyl hydrolase 9C2 (GH9C2);glycosyl hydrolase 9C3 (GH9C3)	OsCel9A, OsGH9C3, GH9C3, OsGLU5, Cel9A;OsGH9B11;OsGH9B8;OsGH9C2;OsGH9C4
QOZ80_1AG0001610	ABA INSENSITIVE 1 (ABI1);ABA INSENSITIVE 2 (ABI2);highly ABA-induced PP2C gene 2 (HAI2)	OsPP2C08, PP2C08, OsPP2C8, OsPP12;OsPP2C10, OsPP18;OsPP2C50, OsPP78, OsABIL3, ABIL3;OsPP2C51, PP2C51, OsPP79, PP79, OsABI1
QOZ80_1AG0001640	BEST Arabidopsis thaliana protein match is: reduced male fertility (TAIR:AT3G61730.1);REDUCED MALE FERTILITY (RMF)	Os_F0777, OsZYGO1
QOZ80_1AG0001650	Got1/Sft2-like vescicle transport protein family	
QOZ80_1AG0001660	unknown protein	
QOZ80_1AG0001680	ATX3;SET domain group 29 (SDG29);SET domain protein 14 (SDG14);SET domain protein 16 (SDG16)	OsPHD3;OsSET1, SET1, OsSDG721;OsSET2, SDG705, OsSDG705
QOZ80_1AG0001730	ABC transporter family protein;peroxisomal ABC transporter 1 (PXA1)	OsABCD1, OsABCD1_1, OsABCD1_2;OsABCD2;OsABCD3
QOZ80_1AG0001740	unknown protein	
QOZ80_1AG0001750	centroradialis (ATC);FLOWERING LOCUS T (FT);PEBP (phosphatidylethanolamine-binding protein) family protein;TWIN SISTER OF FT (TSF)	FT-L 3, OsFTL3, FTL3, FT-L3, RFT, OsRFT1;FT-L 5, OsFTL5, FT-L5;FTL, FT-L1, OsFTL1, FTL1;Hd3a, FT, qHD3(t)*, FT-L 2, OsFTL2, FT-L2, FTL2, OsHd3a;OsFTL11
QOZ80_1AG0001760	DNA-DAMAGE-REPAIR/TOLERATION 101 (DRT101)	AGM1
QOZ80_1AG0001770	tetratricopetide-repeat thioredoxin-like 1 (TTL1);tetratricopetide-repeat thioredoxin-like 2 (TTL2);tetratricopetide-repeat thioredoxin-like 3 (TTL3);tetratricopetide-repeat thioredoxin-like 4 (TTL4)	OsSTA78
QOZ80_1AG0001780	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	OsbHLH035, bHLH035, OsbHLH35, bHLH35, bHLH107;OsbHLH037, bHLH037;OsbHLH040, bHLH40
QOZ80_1AG0001790	Class I glutamine amidotransferase-like superfamily protein	OsDJ-1A, DJ-1A;OsDJ-1B, DJ-1B;OsDJ-1D, DJ-1D, OsDJ-1D.1, OsDJ-1D.2, OsDJ-1D.3, OsDJ-1D.4, OsDJ-1D.5;OsDJ-1E, DJ-1E
QOZ80_1AG0001800	Class I glutamine amidotransferase-like superfamily protein	OsDJ-1A, DJ-1A;OsDJ-1B, DJ-1B;OsDJ-1D, DJ-1D, OsDJ-1D.1, OsDJ-1D.2, OsDJ-1D.3, OsDJ-1D.4, OsDJ-1D.5;OsDJ-1E, DJ-1E
QOZ80_1AG0001810	transducin family protein / WD-40 repeat family protein;Transducin/WD40 repeat-like superfamily protein	OsWD40-139;OsWD40-36;OsWD40-95
QOZ80_1AG0001830	NB-ARC domain-containing disease resistance protein;RECOGNITION OF PERONOSPORA PARASITICA 13 (RPP13);RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRPM1, RPM-1;Pik-m, Pi-m, Pi-km, Pikm, Pi m, Pikm1-TS, Pikm2-TS, Pi-km1, Pi-km2
QOZ80_1AG0001840	Disease resistance protein (CC-NBS-LRR class) family;RESISTANCE TO P. SYRINGAE PV MACULICOLA 1 (RPM1)	OsRYMV3;Xa39, OsXa39, OsRGA5-L2, RGA5-L2, OsRGA5L2, RGA5L2
QOZ80_1AG0001870	INVOLVED IN: biological_process unknown;TRICHOME BIREFRINGENCE-LIKE 37 (TBL37);TRICHOME BIREFRINGENCE-LIKE 38 (TBL38);TRICHOME BIREFRINGENCE-LIKE 39 (TBL39);TRICHOME BIREFRINGENCE-LIKE 41 (TBL41)	OsTBL18;OsTBL19;OsTBL20;OsTBL21
QOZ80_1AG0001880	ARAB-1;GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP10;OsGELP11;OsGELP7;OsGELP8;OsGELP9
QOZ80_1AG0001890	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP11;OsGELP5, OsGELP5a, OsGELP5b;OsGELP64, OsGELP64a, OsGELP64b, MHZ11, OsMHZ11;OsGELP9
QOZ80_1AG0001900	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP10;OsGELP11;OsGELP7;OsGELP8;OsGELP9
QOZ80_1AG0001910	ARAB-1;GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP11;OsGELP4;OsGELP5, OsGELP5a, OsGELP5b;OsGELP64, OsGELP64a, OsGELP64b, MHZ11, OsMHZ11;OsGELP9
QOZ80_1AG0001920	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP10;OsGELP11;OsGELP7;OsGELP8;OsGELP9
QOZ80_1AG0001930	GDSL-like Lipase/Acylhydrolase superfamily protein;SGNH hydrolase-type esterase superfamily protein	OsGELP2, OsGELP2a, OsGELP2b;OsGELP6;OsGELP63;OsGELP79;OsGELP85
QOZ80_1AG0001940	GDSL-like Lipase/Acylhydrolase superfamily protein;SGNH hydrolase-type esterase superfamily protein	OsGELP11;OsGELP4;OsGELP5, OsGELP5a, OsGELP5b;OsGELP9
QOZ80_1AG0001950	cytochrome P450, family 76, subfamily C, polypeptide 1 (CYP76C1);cytochrome P450, family 76, subfamily C, polypeptide 2 (CYP76C2);cytochrome P450, family 76, subfamily C, polypeptide 4 (CYP76C4);cytochrome P450, family 76, subfamily C, polypeptide 6 (CYP76C6);cytochrome P450, family 76, subfamily C, polypeptide 7 (CYP76C7)	OsCYP71AB3, OsCYP76C2, CYP76C2;OsCYP71AB9;OsCYP76-16, OsCYP71AB1, CYP71AB1;OsCYP76-17, OsCYP71AB2, CYP71AB2, OsCYP76C4, CYP76C4;OsCYP76-6, OsCYP71AB8, CYP71AB8
QOZ80_1AG0001960	GDSL-like Lipase/Acylhydrolase superfamily protein;SGNH hydrolase-type esterase superfamily protein	OsGELP4;OsGELP5, OsGELP5a, OsGELP5b;OsGELP72;OsGELP9
QOZ80_1AG0001980	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP4;OsGELP5, OsGELP5a, OsGELP5b;OsGELP64, OsGELP64a, OsGELP64b, MHZ11, OsMHZ11;OsGELP9
QOZ80_1AG0001990	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP10;OsGELP11;OsGELP7;OsGELP8;OsGELP9
QOZ80_1AG0002000	GDSL-like Lipase/Acylhydrolase superfamily protein;SGNH hydrolase-type esterase superfamily protein	OsGELP12, OsGELP12a, OsGELP12b, OsGELP12c;OsGELP4;OsGELP5, OsGELP5a, OsGELP5b;OsGELP9
QOZ80_1AG0002010	GDSL-like Lipase/Acylhydrolase superfamily protein	OsGELP33, OsGELP33a, OsGELP33b, OsGELP33c;OsGELP3, OsGELP3a, OsGELP3b;OsGELP84;OsGELP85
QOZ80_1AG0002020	GDSL-like Lipase/Acylhydrolase superfamily protein;SGNH hydrolase-type esterase superfamily protein	OsGELP2, OsGELP2a, OsGELP2b;OsGELP63;OsGELP77, OsGELP77a, OsGELP77b;OsGELP79
QOZ80_1AG0002040	unknown protein	
QOZ80_1AG0002050	Protein of unknown function DUF455	
QOZ80_1AG0002060	global transcription factor group E4 (GTE4)	OsBrd4a, Brd4a;OsGTE4, OsBrd4b, Brd4b
QOZ80_1AG0002070	SGNH hydrolase-type esterase superfamily protein	OsGELP109;OsGELP112, WDL1;OsGELP1, OsEST1;OsGELP76
QOZ80_1AG0002080	TCP family transcription factor 4 (TCP4)	OsPCF5;OsPCF6;OsTCP21
QOZ80_1AG0002090	AtL5 (ATL5);RING-H2 finger A3A (RHA3A);RING/U-box superfamily protein	OsATL101, OsRING304, RING304, OsC3HC4_082, C3HC4_082;OsATL69, OsRING255, RING255, OsC3HC4_061, C3HC4_061;OsRFPH2-8, OsRING68, RING68, OsC3HC4_003, C3HC4_003;OsRING41;OsRING55
QOZ80_1AG0002150	carboxyesterase 17 (CXE17);carboxyesterase 18 (CXE18);GA INSENSITIVE DWARF1A (GID1A);GA INSENSITIVE DWARF1B (GID1B);GA INSENSITIVE DWARF1C (GID1C)	OsCXE11.2;OsCXE11.3;OsCXE6.1;OsCXE7.11
QOZ80_1AG0002160	Calcium-binding EF-hand family protein;sodium/calcium exchanger family protein / calcium-binding EF hand family protein	OsEFCAX1, OsNCX1, OsNCX1.1, OsNCX1.2, NCX1, OsNCL1, NCL1;OsEFCAX2, OsNCX4, OsNCX4.1, OsNCX4.2, NCX4, OsNCL2, NCL2
QOZ80_1AG0002170	ATP-dependent RNA helicase, putative;ENHANCED SILENCING PHENOTYPE 3 (ESP3);maternal effect embryo arrest 29 (MEE29);RNA helicase family protein	mog-4
QOZ80_1AG0002180	BZIP34;BZIP61	OsbZIP02, OsbZIP2, OsSTA8;OsbZIP06, OsbZIP6;OsbZIP19;OsbZIP84, BZIP84;RF2a, OsbZIP75
QOZ80_1AG0002190	cytochrome P450, family 710, subfamily A, polypeptide 1 (CYP710A1);cytochrome P450, family 710, subfamily A, polypeptide 2 (CYP710A2);cytochrome P450, family 710, subfamily A, polypeptide 3 (CYP710A3);cytochrome P450, family 710, subfamily A, polypeptide 4 (CYP710A4);ent-kaurenoic acid hydroxylase 2 (KAO2)	
QOZ80_1AG0002200	cytochrome P450, family 710, subfamily A, polypeptide 1 (CYP710A1);cytochrome P450, family 710, subfamily A, polypeptide 2 (CYP710A2);cytochrome P450, family 710, subfamily A, polypeptide 3 (CYP710A3);cytochrome P450, family 710, subfamily A, polypeptide 4 (CYP710A4)	OsABA8OX1, CYP707A5, OsCYP707A5, ABA8ox1, OsABA8ox1, OsABA8'OH1, ABA8'OH1
QOZ80_1AG0002210	translocase 11 (TRANS11)	
QOZ80_1AG0002220	K+ transporter 5 (KT5);potassium channel in Arabidopsis thaliana 1 (KAT1);potassium channel in Arabidopsis thaliana 2 (KAT2);Shaker pollen inward K+ channel (SPIK)	OsAKT1, Os-AKT1;OsKAT1, OsKAT3;OsKAT2;OsKAT3, OsKAT1, KAT1;OsSTA191, OsAKT3
QOZ80_1AG0002230	Protein of unknown function, DUF538;SMALLER WITH VARIABLE BRANCHES (SVB)	OsEnS-91
QOZ80_1AG0002240	SOUL heme-binding family protein	
