dpca0g000640.840	pentatricopeptide repeat 336 (PPR336);Tetratricopeptide repeat (TPR)-like superfamily protein	OsPLS29
dpca0g000750.840	Pentatricopeptide repeat (PPR-like) superfamily protein;Pentatricopeptide repeat (PPR) superfamily protein	OsSTA65, STA65
dpca0g000390.840	Zincin-like metalloproteases family protein	
dpca0g000580.840	NTMC2T5.2;N-terminal-transmembrane-C2 domain type 5.1 (NTMC2T5.1)	OsNTMC2T5, OsC2DP26, C2DP26;OsRPA32, RPA32, RPA2A
dpca0g000920.840	transportin 1 (TRN1);ARM repeat superfamily protein	
dpca0g000670.840	FUNCTIONS IN: molecular_function unknown;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
dpca0g000630.840	RING/U-box superfamily protein	OsPUB26, OsPUB26, PUB26
dpca0g000500.840	Endosomal targeting BRO1-like domain-containing protein	OsSigP1, SIGP1
dpca0g000270.840	ARGONAUTE 1 (AGO1)	OsAGO1c, OsAGO1, AGO1, AGO1c;OsAGO1d, AGO1d;OsAGO1b, AGO1b, AGO1-2
dpca0g000450.840	general control non-repressible 3 (GCN3);general control non-repressible 4 (GCN4);GENERAL CONTROL NON-REPRESSIBLE 1 (GCN1);general control non-repressible 5 (GCN5)	OsABCF1, OsABCF1_1, OsABCF1_2, OsABCF1_3;OsABCF4;OsABCF5, OsABCF5_1, OsABCF5_2, OsABCF5_3
dpca0g000690.840	unknown protein	
dpca0g000190.840	senescence-associated E3 ubiquitin ligase 1 (SAUL1);ARM repeat superfamily protein	OsPUB24;OsPUB23;OsPUB25, OsPUB25, PUB25;OsPUB22, OsPUB22, PUB22;OsPUB21, OsPUB21, PUB21
dpca0g000490.840	proline-rich spliceosome-associated (PSP) family protein;Putative integral membrane protein conserved region (DUF2404)	
dpca0g000120.840	SULA	
dpca0g000570.840	polyprenyltransferase 1 (PPT1)	OsPPT1a
dpca0g000240.840	tonoplast monosaccharide transporter3 (TMT3)	OsHWH2, AZT5, OsAZT5, OsTMT5, TMT5;OsAZT2, OsTMT2, TMT2;OsTMT2, AZT1, OsAZT1, OsTMT1, TMT1
dpca1g083920.840	actin 7 (ACT7);actin 3 (ACT3);actin-11 (ACT11)	
dpca1g016410.840	Transducin/WD40 repeat-like superfamily protein	OsWD40-195
dpca1g015990.840	pumilio 12 (PUM12)	OsPuf4
dpca1g021050.840	Heavy metal transport/detoxification superfamily protein 	OsHMP23, HMP23, OsHIPP34, OsaHIP34, HIP34;OsHMP13, HMP13, OsHIPP33, OsaHIP33, HIP33;OsHMP42, HMP42, OsHIPP28, OsaHIP28, HIP28;OsHMP25, HMP25, OsHIPP29, OsaHIP29, HIP29
dpca1g085170.840	cation exchanger 11 (CAX11);calcium exchanger 7 (CAX7);cation calcium exchanger 4 (CCX4);cation exchanger 9 (CAX9)	OsCAX8, OsNCX13, NCX13, OsNaCa11exB, OsCCX5, CCX5, CCX5_Ath;OsCCX1, OsNCX6, NCX6;OsCCX3, OsNCX11, NCX11;OsCDT1, OsCCX2, CCX2, OsNCX8, NCX8;OsCCX4, OsNCX15, NCX15
dpca1g042230.840	Arabidopsis Inositol phosphorylceramide synthase 1 (AtIPCS1);Arabidopsis Inositol phosphorylceramide synthase 2 (AtIPCS2);Arabidopsis Inositol phosphorylceramide synthase 3 (AtIPCS3)	OsIPCS3;OsIPCS1;OsIPCS2
dpca1g058120.840	beta-1,3-glucanase 1 (BG1);beta-1,3-glucanase 2 (BGL2);beta-1,3-glucanase 3 (BG3);Glycosyl hydrolase superfamily protein	Gns8, OsGns8;Gns7, OsGns7;OsPR2, PR2, OsGlu1, Glu1;Gns3, OsGns3
dpca1g047900.840	PALE CRESS (PAC)	
dpca1g082110.840	amino acid permease 6 (AAP6);amino acid permease 8 (AAP8);amino acid permease 1 (AAP1);amino acid permease 4 (AAP4)	OsAAP10B, OsAAP4, AAP4, OsAAP4a, OsAAP4b, OsAAP4c;OsAAP10C, OsAAP5, AAP5;OsAAP10A, OsAAP17, AAP17;OsAAP10D, OsAAP6, AAP6, qPC1
dpca1g023590.840	NDHF;NADH dehydrogenase 5A (NAD5A)	
dpca1g054050.840	guanylyl cyclase 1 (GC1)	
dpca1g006840.840	Protein of unknown function (DUF594);unknown protein	
dpca1g072840.840	Pollen Ole e 1 allergen and extensin family protein	
dpca1g074140.840	WRKY42;WRKY6;WRKY47	OsWRKY5;OsWRKY9;OsWRKY1, OsWRKY1v2;OsWRKY43;OsWRKY73
dpca1g052080.840	calreticulin 1a (CRT1a);calreticulin 1b (CRT1b);calreticulin 3 (CRT3)	CRT, OsCRT, CRT-2, OsCRT-2, OsCRT2;OsCRO1, CRT, CRT-1, OsCRT-1, OsCRT1, CRT1
dpca1g003550.840	Protein kinase superfamily protein	OsRLCK365;OsRLCK366;OsRLCK350;OsRLCK351;OsRLCK215
dpca1g075160.840	Duplicated homeodomain-like superfamily protein	OsMYB2-60
dpca1g031940.840	nudix hydrolase homolog 15 (NUDX15)	OsNUDX15a;OsNUDX14, OsNUDX15b, NUDX15b;OsNUDX5, OsNUDX11, NUDX11
dpca1g030860.840	CONTAINS InterPro DOMAIN/s: Munc13 homology 1 (InterPro:IPR014770), Protein of unknown function DUF810 (InterPro:IPR008528), Mammalian uncoordinated homology 13, domain 2 (InterPro:IPR014772);FUNCTIONS IN: molecular_function unknown	OsDUF810.5;OsDUF810.4;OsSTA89, STA89, OsDUF810.1, DUF810.1;OsDUF810.7;OsDUF810.2
dpca1g078530.840	TRICHOME BIREFRINGENCE-LIKE 25 (TBL25);TRICHOME BIREFRINGENCE-LIKE 26 (TBL26);TRICHOME BIREFRINGENCE-LIKE 23 (TBL23);TRICHOME BIREFRINGENCE-LIKE 24 (TBL24);TRICHOME BIREFRINGENCE-LIKE 27 (TBL27)	OsTBL48;OsTBL49;OsTBL58, OsXyBAT2, XyBAT2;OsTBL61, OsXyBAT5, XyBAT5;OsTBL40
dpca1g058830.840	HSP20-like chaperones superfamily protein	
dpca1g025470.840	Plant protein of unknown function (DUF868)	OsDUF868.10;OsDUF868.12;OsDUF868.8;OsDUF868.2;OsDUF868.7
dpca1g065480.840	6-phosphogluconate dehydrogenase family protein;glyoxylate reductase 1 (GLYR1)	OsGLYR1, OsGR1, GR1;OsGLYR2, OsGR2, GR2
dpca1g005410.840	P-loop containing nucleoside triphosphate hydrolases superfamily protein	
dpca1g015420.840	cycloartenol synthase 1 (CAS1);lanosterol synthase 1 (LAS1)	OsOSC8;OsIAS, OsOSC11, IAS, OSC11;OsOSC2, CAS1;OsOSC7, OSC7, OsPS, PS, OsOSC7/OsPS, OsOSC7i, OsOSC7j;OsOSC10
dpca1g083990.840	VIRE2-interacting protein 1 (VIP1);Basic-leucine zipper (bZIP) transcription factor family protein	OsbZIP84, BZIP84;OsbZIP61;OsbZIP36
dpca1g065120.840	ubiquitin-conjugating enzyme 36 (UBC36);ubiquitin-conjugating enzyme 35 (UBC35)	OsUbc13, Ubc13, OsUBC47, UBC47;OsUBC17;Dhr6, OsUBC5b, OsUBC16, UBC16
dpca1g070860.840	Protein of Unknown Function (DUF239)	OsLOTR1
dpca1g045770.840	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	OsNHL35;OsNHL65;OsNHL76;OsNHL69
dpca1g046100.840	Protein kinase superfamily protein	OsRLCK184;OsRLCK54;OsRLCK53
dpca1g066350.840	RAN GTPase 3 (RAN3);RAS-related nuclear protein-1 (RAN-1);RAS-related GTP-binding nuclear protein 2 (RAN2);ras-related nuclear protein 4 (RAN4);RAB GTPase homolog H1C (RABH1c)	OsRAN2;glup4(esp8), esp8, glup4, OsRab5B2, Rab5a, OsRab5a, GPA1/Rab5a, GPA, GLUP4/Rab5, GLUP4/Rab5a, GPA1, OsGPA1
dpca1g016100.840	DNAJ heat shock N-terminal domain-containing protein;CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609)	OsDjC76;OsDjC6;OsRING19
dpca1g073890.840	phytochrome interacting factor 3 (PIF3)	APG, OsAPG, OsPIL16, OsbHLH106;OsPIL12, OsbHLH103, bHLH103;OsPIL11, OsbHLH102, bHLH102, PIF4, OsPIF4
dpca1g010540.840	cytochrome P450, family 71, subfamily A, polypeptide 25 (CYP71A25);cytochrome P450, family 71, subfamily A, polypeptide 22 (CYP71A22);cytochrome P450, family 71, subfamily A, polypeptide 23 (CYP71A23);cytochrome P450, family 71, subfamily B, polypeptide 4 (CYP71B4)	OsCYP71X1;OsCYP71D8L;OsCYP71X2;OsEnS-28, OsCYP71X4
dpca1g074440.840	Peroxidase superfamily protein	prx68;OsEIN2.3, EIN2.3;OsEIN2.4, EIN2.4, OsEin2b, Ein2b;prx45, OsPRX45, OsPRX2
dpca1g081410.840	HhH-GPD base excision DNA repair family protein;receptor kinase 3 (RK3)	SDRLK-26, OsSDRLK-26, OsSDRLK26;OsRLCK150;SDRLK-27, OsSDRLK-27, OsSDRLK27
dpca1g045650.840	Nucleotide-sugar transporter family protein;UDP-galactose transporter 6 (UTR6)	
dpca1g057350.840	DNAse I-like superfamily protein;BRISTLED 1 (BST1)	
dpca1g082140.840	RNApolymerase 14 kDa subunit (RPC14)	
dpca1g026370.840	EXCESS MICROSPOROCYTES1 (EMS1);GASSHO1 (GSO1);GASSHO 2 (GSO2);Leucine-rich repeat receptor-like protein kinase family protein	Msp1, OsMSP1, OsTMS15, TMS15;OsSRK, SRK;OsSGN3a, SGN3a
dpca1g012940.840	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	
dpca1g002810.840	NB-ARC domain-containing disease resistance protein;LRR and NB-ARC domains-containing disease resistance protein;HOPZ-ACTIVATED RESISTANCE 1 (ZAR1)	Osh359-3, Osh359-5;YR2, YR6, YR9, YR10, YR21, YR23
dpca1g056180.840	cytochrome P450, family 87, subfamily A, polypeptide 6 (CYP89A6);cytochrome P450, family 89, subfamily A, polypeptide 5 (CYP89A5);Cytochrome P450 superfamily protein;cytochrome P450, family 87, subfamily A, polypeptide 9 (CYP89A9);cytochrome P450, family 87, subfamily A, polypeptide 7 (CYP89A7)	
dpca1g066230.840	CTP synthase family protein;embryo defective 2742 (emb2742)	OsCTPS5;OsCTPS2;OsCTPS1, CTPS1
dpca1g009060.840	tonoplast monosaccharide transporter3 (TMT3);tonoplast monosaccharide transporter1 (TMT1)	OsAZT6, OsTMT6, TMT6;OsTMT2, AZT1, OsAZT1, OsTMT1, TMT1
dpca1g006440.840	laccase 7 (LAC7);Laccase/Diphenol oxidase family protein;laccase 8 (LAC8);laccase 5 (LAC5);laccase 12 (LAC12)	OsLAC17;OsLAC23, OsLAC19, LAC19;OsLAC22;OsLAC24;OsChI1, ChI1, OsLAC3
dpca1g006700.840	cytochrome P450, family 71, subfamily B, polypeptide 35 (CYP71B35);cytochrome P450, family 71, subfamily B, polypeptide 37 (CYP71B37);cytochrome P450, family 71, subfamily B, polypeptide 2 (CYP71B2);cytochrome P450, family 71, subfamily B, polypeptide 10 (CYP71B10);cytochrome P450, family 71, subfamily B, polypeptide 34 (CYP71B34)	OsSL, sl (spl1), sl*, sl, spl1, CYP71P1, Os CYP71P1, T5H, OsT5H, CYP71A1, OsCYP71A1, OsLLM1, LLM1, LLM1/OsSL, ELL1, OsELL1, ELL1/SL, OsT5H1;OsCYP71C8;OsCYP92A11;OsCYP71C6;OsCYP71C3
dpca1g054170.840	REPLUMLESS (RPL);BEL1-like homeodomain 8 (BLH8);BEL1-like homeodomain 5 (BLH5);BEL1-like homeodomain 4 (BLH4)	OsSH5, RI, SH5/RI, OsRI, VPB1, OsVPB1;qSH1, qsh1, qSH-1, RIL1, OsRIL1;OsWAHD1
dpca1g023960.840	cytochrome P450, family 87, subfamily A, polypeptide 2 (CYP87A2);cytochrome P450, family 708, subfamily A, polypeptide 3 (CYP708A3)	DWF1, DIM/DWF1, DIM;OsCYP87A3
dpca1g022260.840	Protein of unknown function, DUF547	OsRhoGAP15, OsRhoGAP15
dpca1g030300.840	SU(VAR)3-9 homolog 5 (SUVH5)	OsSET30, SDG710, OsSUVH10, DLN209, OsDLN209, OsSDG710;OsSET35, SDG727, OsSUVH6, OsSDG727
dpca1g063090.840	Pectin lyase-like superfamily protein;polygalacturonase abscission zone A. thaliana (PGAZAT)	OsPGL9;OsPGL14, PGL14;OsPGL15, PGL15
dpca1g052510.840	pyrophosphorylase 3 (PPa3);pyrophosphorylase 1 (PPa1);pyrophosphorylase 4 (PPa4)	
dpca1g053130.840	Tetratricopeptide repeat (TPR)-like superfamily protein;Pentatricopeptide repeat (PPR) superfamily protein;ORGANELLE TRANSCRIPT PROCESSING 84 (OTP84)	
dpca1g066660.840	3-phosphoserine phosphatase (PSP)	
dpca1g085910.840	CBL-interacting protein kinase 3 (CIPK3);Ca2+regulated serine-threonine protein kinase family protein;CBL-interacting protein kinase 23 (CIPK23)	OsCIPK32, OsSnRK3.34, SnRK3.34;OsCIPK33, OsSnRK3.32, SnRK3.32;OsCK1, CIPK31, OsCIPK31, Os-CIPK3, OsSnRK3.11, SnRK3.11
dpca1g064340.840	Ribosomal protein L7/L12, oligomerisation;Ribosomal protein L12 family protein;Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein	OsRPL7/L12, RPL7/L12, RPL7, RPL12, OsRPL7, OsRPL12
dpca1g072750.840	PATATIN-like protein 6 (PLP6);patatin-like protein 6 (PLA IIIA);PATATIN-like protein 8 (PLP8);PATATIN-like protein 9 (PLP9)	OspPLAIIIbeta, pPLAIIIbeta;OspPLAIIIzeta, pPLAIIIzeta;OspPLAIIIgamma, pPLAIIIgamma;OspPLAIIIepsilon, pPLAIIIepsilon;OspPLAIIIalpha, pPLAIIIalpha
dpca1g033100.840	ortholog of maize chloroplast splicing factor CRS1 (CRS1);embryo defective 1865 (EMB1865);CRM family member 2 (CFM2);CRM family member 3B (CFM3B)	OsCRS1;OsCFM3;OsCFM2
dpca1g041680.840	tryptophan biosynthesis 1 (TRP1)	TRP1, OsTRP1, OsPAT1, PAT1, OsPAT1.1, OsPAT1.2
dpca1g076610.840	OBF-binding protein 3 (OBP3);Dof-type zinc finger DNA-binding family protein;DNA binding with one finger 2.4 (DOF2.4)	OsDof19, Dof19, OsDof-19;OsDof21, Dof21, OsDof-21, OsCDF2, CDF2, OsDof22, Dof22;OsDof14, Dof14, OsDof-14, OsDof12, Dof12;OsDof16, Dof16, OsDof-16;OsDof28, Dof28, OsDof-28, OsDof29, Dof29
dpca1g054580.840	GUT1;GUT2;FRA8 homolog (F8H);FRAGILE FIBER 8 (FRA8)	OsIRX10, OsIRX10L, IRX10L, OsBC18, BC18, OsIRX18, IRX18;OsIRX10L4;OsGT47A, OsIRX10L1, IRX10L1;OsIRX10L5;OsGUT1, OsIRX10L2, IRX10L2
dpca1g065930.840	methionine sulfoxide reductase B 2 (MSRB2);methionine sulfoxide reductase B5 (MSRB5);methionine sulfoxide reductase B3 (MSRB3)	OsMSRB3;OsMSR1, MSR1, OsMSRB5;OsMSRB1, OsMSRB1.1, OsMSRB1.2, MSRB1.1
dpca1g061280.840	YebC-related	
dpca1g049250.840	methyl-CPG-binding domain 4 (MBD4);methyl-CPG-binding domain 1 (MBD1);methyl-CPG-binding domain protein 02 (MBD02)	OsMBD706;OsMBD711;OsMBD701
dpca1g068870.840	Eukaryotic aspartyl protease family protein	
dpca1g044690.840	farnesylated protein-converting enzyme 2 (FACE2)	
dpca1g074890.840	basic region/leucine zipper motif 53 (BZIP53);basic leucine-zipper 2 (bZIP2);basic leucine-zipper 44 (bZIP44);G-box binding factor 6 (GBF6)	Lip19, lip19, OsLIP9, OsbZIP38, bZIP38;OsOBF1, OsbZIP87;OsbZIP14
dpca1g058130.840	unknown protein	
dpca1g077720.840	carboxyl terminus of HSC70-interacting protein (CHIP);RNase H family protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein	OsPUB66;OsPUB68, OsPUB68, PUB68
dpca1g014460.840	rna processing factor 2 (RPF2);Tetratricopeptide repeat (TPR)-like superfamily protein	Rf4, Rf-4, PPR782a, PPR9, PPR3;PPR794, PPR6, PPR6-794, PPR5
dpca1g062820.840	Mitochondrial substrate carrier family protein;ADP/ATP carrier 2 (AAC2);ADP/ATP carrier 1 (AAC1)	PM-ANT;ant, ricANC1, ANC1;ER-ANT1
dpca1g030110.840	Endomembrane protein 70 protein family	OsTMN11, TM9-11, OsTM9-11
dpca1g080420.840	DPP6 N-terminal domain-like protein;LOCATED IN: cell wall, plant-type cell wall;tolB protein-related	
dpca1g046200.840		OsFbox257, Os_F0400, OsFBX167, FBX167
dpca1g020660.840	nuclear RNA polymerase C1 (NRPC1);nuclear RNA polymerase A1 (NRPA1)	OsNRPE1, OsFEM3, FEM3
dpca1g058280.840	DEG15	OsDegp8, DEGP8, OsDeg15
dpca1g055930.840	PYRABACTIN RESISTANCE 1-LIKE 5 (PYL5);PYR1-like 6 (PYL6);PYR1-like 4 (PYL4);PYR1-like 2 (PYL2);PYRABACTIN RESISTANCE 1 (PYR1)	OsPYL/RCAR6, PYL6, OsPYL6, OsPYL5, PYL5;OsPYL/RCAR1, PYL1, OsPYL1, OsPYL4, PYL4;OsPYL/RCAR4, PYL4, OsPYL4, OsPYL6, PYL6;OsPYL/RCAR10, OsRCAR10, RCAR10, PYL10, OsPYL10, OsPYL1, PYL1, OsR10, R10, OsPYL/R10;OsPYL/RCAR5, PYL5, OsPYL5, OsPYL11, PYL11
dpca1g072490.840	STRESS RESPONSE SUPPRESSOR 1 (STRS1)	
dpca1g033470.840	Phosphofructokinase family protein	OsPFPA3, OsPFP1a3, PFP1a3, PFP-ALPHA, OsPFP-ALPHA;OsPFPA2, OsPFP1a2, PFP1a2
dpca1g051870.840	GAST1 protein homolog 3 (GASA3);GAST1 protein homolog 1 (GASA1);Gibberellin-regulated family protein	
dpca1g035650.840	15-cis-zeta-carotene isomerase (Z-ISO)	OsT20, Z-ISO, OsZ-ISO, HTD12, OsHTD12
dpca1g019740.840	xyloglucan endotransglucosylase/hydrolase 5 (XTH5);xyloglucan endotransglucosylase/hydrolase 4 (XTH4)	OsXTH2, XTR1, OsXTR1;OsXTH12;OsXTH11, XTR2, OsXTR2, Meri-5;OsXTH10;OsXTH1
dpca1g016170.840	zinc knuckle (CCHC-type) family protein	
dpca1g061200.840	Protein of unknown function (DUF616)	
dpca1g064780.840	Protein of unknown function (DUF2921)	
dpca1g044230.840	LATE EMBRYOGENESIS ABUNDANT 6 (GEA6);LATE EMBRYOGENESIS ABUNDANT 1 (EM1)	Em*, EMP1, Emp1, EM, Em, OsEm, Osem, OsLEA21, OsEm1, Em1
dpca1g072200.840	unknown protein	OsMed28_1, Med28_1
dpca1g057700.840	glutamate-1-semialdehyde-2,1-aminomutase (GSA1);glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA2);ornithine-delta-aminotransferase (DELTA-OAT);HOPW1-1-interacting 1 (WIN1)	GSA, GSAT, HEML, OsGSA, OsGSAT, OsHEML, OsGSAM, GSAM, OsYS53;OsOAT, delta-OAT;Osh36, OsH36, H36, OsAMTR1
dpca1g082960.840	lectin protein kinase family protein;Protein kinase superfamily protein;receptor-like protein kinase 4 (RLK4)	SDRLP-12, OsSDRLP-12, OsSDRLP12;SDRLK-17, OsSDRLK-17, OsSDRLK17;OsNRFG6, SDRLK-38, OsSDRLK-38, SDRLK38, OsSDRLK38;SDRLP-8, OsSDRLP-8, OsSDRLP8;SDRLP-6, OsSDRLP-6, OsSDRLP6
dpca1g054880.840	Lung seven transmembrane receptor family protein	OsCOLD6
dpca1g065230.840	NAC domain containing protein 73 (NAC073);NAC domain containing protein 10 (NAC010);NAC domain containing protein 75 (NAC075)	ONAC062, ONAC62, OsSND2, SND2;ONAC073, ONAC73, OsSND2, SND2;ONAC003, ONAC3, ONAC016, ONAC16, SNAC3, OsSND3, SND3, OsNAC006, NAC006, ONAC066
dpca1g021620.840	Rhamnogalacturonate lyase family protein	
dpca1g060470.840	O-methyltransferase family protein;O-methyltransferase 1 (OMT1)	OsASMT3, OsCOMT8, COMT8;ZRP4, OsASMT4, OsCOMT9, COMT9;OsASMT18, OsCOMT30, COMT30;OsASMT19, OsCOMT31, COMT31;OsASMT6, OsCOMT11, COMT11
dpca1g075530.840	transcription factor IIIA (TFIIIA)	OsZOS5-03, OsZAF, ZAF;OsZOS2-02
dpca1g080450.840	Zinc finger (C3HC4-type RING finger) family protein	OsvWA10, vWA10;OsvWA1, vWA1;OsRFP, OsRING317, OsvWA14, vWA14
dpca1g081170.840	Zinc-binding dehydrogenase family protein;alkenal reductase (AER)	ClpC2
dpca1g016680.840	replication factor C1 (RFC1)	OsRFC1
dpca1g074590.840	shaggy-related kinase 11 (SK 11);ATSK12;shaggy-like kinase 13 (SK13)	OsSK13/OsGSK6, OsSK13, OsGSK6, SK13;OsSKgamma, SKgamma, OsSK11/ OsGSK2, OsSK11, OsGSK2, SK11, GSK2, OsSK12, SK12;OsSK12/OsGSK3, OsSK12, OsGSK3, SK12
dpca1g029700.840	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	OsTPP6, OsTPP5, TPP5;OsTPP7;OsTPP4, OsTPP7, TPP7, OsTPP2, TPP2
dpca1g041120.840	cinnamate-4-hydroxylase (C4H);cytochrome P450, family 98, subfamily A, polypeptide 3 (CYP98A3);cytochrome P450, family 83, subfamily A, polypeptide 1 (CYP83A1);cytochrome P450, family 71, subfamily A, polypeptide 20 (CYP71A20);cytochrome P450, family 71, subfamily B, polypeptide 4 (CYP71B4)	OsC4H, OsC4HL, C4H, OsC4H2;OsC4H1, OsC4H, C4H;OsC4H, C4H;OsC3H1, OsC3'H, C3'H, OsCYP71P5, CYP71P5
dpca1g062060.840	RING/U-box superfamily protein	OsRING97, OsC3HC4_055, C3HC4_055;OsRING96;OsRFPH2-2, OsRING323, RING323, OsC3HC4_019, C3HC4_019;OsFbox641, Os_F0319, OsFBO23, FBO23;OsRING94, OsATL53, ATL53
dpca1g070050.840	ovule abortion 9 (OVA9);Glutamyl/glutaminyl-tRNA synthetase, class Ic;Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain	OsERS1;OsERS2
